1. A precious stone
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
 UMCP	0.02	0.02	3.7	3.9	1.4	0.00	0.09	0.00
 UMD	0.02	0.02	5.1	5.4	1.4	0.00	0.10	0.00
 University of MD	0.01	0.01	8.3	8.5	1.2	0.00	0.04	0.00
 College Park	0.01	0.01	5.6	5.6	1.0	0.00	0.03	0.00
 Maryland University	0.00		7.5		1.7	0.00	0.01	0.00
Colorado State University	0.22	0.01	3.8	7.3	3.5	0.42	0.00	0.01
 CSU	0.15		3.2		3.5	0.29	0.00	0.01
 Colorado State University	0.06		5.4		3.6	0.12	0.00	0.00
UCLA	0.16		3.1		4.4	0.20	0.10	0.13
Yale	0.16	0.01	2.4	4.7	5.0	0.16	0.19	0.13
Stanford	0.12		3.4		5.1	0.16	0.11	0.05
Princeton	0.10		3.6		5.6	0.10	0.13	0.06
U of Southern California	0.10		3.1		4.8	0.15	0.02	0.05
 USC	0.09		2.9		4.7	0.15	0.01	0.05
 Southern California	0.00		5.8		6.3	0.01	0.01	0.00
 U Southern California	0.00		5.4		7.0	0.00	0.00	0.00
Florida State U	0.09		4.3		5.8	0.07	0.12	0.08
 Florida State	0.05		4.4		5.8	0.05	0.09	0.00
 Florida State University	0.02		4.7		6.8	0.00	0.01	0.08
 FSU	0.02		3.5		4.6	0.02	0.02	0.00
New York U	0.08		3.0		4.9	0.06	0.11	0.09
 NYU	0.08		2.9		4.9	0.06	0.11	0.09
 New York	0.00		1.6		10.0	0.00	0.00	0.00
 New York University	0.00		8.0		2.0	0.00	0.01	0.00
North Carolina State	0.08		4.6		4.4	0.00	0.01	0.29
Penn State	0.08		4.0		4.8	0.05	0.19	0.05
UNC Wilmington	0.08		3.2		4.0	0.00	0.00	0.31
U of Florida	0.06		4.6		5.3	0.06	0.09	0.04
 Florida	0.04		3.4		5.8	0.04	0.07	0.02
 Florida University	0.01		6.3		4.5	0.01	0.00	0.01
 University of Florida	0.01		9.2		3.4	0.01	0.01	0.00
 U of Florida	0.00		6.0		5.0	0.01	0.00	0.00
U of Michigan	0.06		4.0		4.0	0.07	0.09	0.02
 Michigan	0.06		3.9		4.1	0.07	0.09	0.02
 U of Michigan	0.00		6.7		2.0	0.01	0.00	0.00
Brown	0.05		2.7		4.9	0.06	0.07	0.02
ECU	0.05		3.2		4.4	0.00	0.01	0.18
Texas	0.05		3.6		4.2	0.08	0.02	0.01
U of California, Berkeley	0.05		4.6		5.4	0.06	0.07	0.04
 Berkeley	0.04		4.2		5.5	0.04	0.05	0.03
 UC Berkeley	0.01		5.8		4.6	0.01	0.01	0.01
 Cal Berkeley	0.00		6.0		9.0	0.00	0.01	0.00
 California Berkeley	0.00		5.4		5.0	0.01	0.00	0.00
UNC Ashville	0.05		2.8		3.8	0.00	0.00	0.19
UNC Pembroke	0.05		3.0		4.4	0.00	0.01	0.19

57. A drug
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(650)		Overall	First		(334)	(150)	(166)
Marijuana	0.88	0.41	5.3	6.0	2.1	0.90	0.85	0.85
 Marijuana	0.65	0.29	5.7	6.5	2.1	0.58	0.57	0.85
 Pot	0.12	0.07	4.4	4.8	2.1	0.20	0.09	0.00
 Weed	0.11	0.05	3.9	4.6	2.1	0.12	0.19	0.00
Cocaine/coke	0.70	0.13	4.1	6.0	2.9	0.74	0.63	0.69
 Cocaine	0.63	0.12	4.2	6.1	2.8	0.61	0.63	0.65
 Coke	0.08	0.01	3.0	4.7	3.4	0.13	0.00	0.04
Heroin	0.46	0.04	4.0	5.3	3.8	0.51	0.51	0.33
Ecstasy	0.34	0.06	6.0	7.0	3.5	0.30	0.49	0.30
Alcohol	0.25	0.04	5.0	8.1	3.6	0.26	0.27	0.20
LSD	0.23	0.02	3.7	4.3	3.9	0.23	0.30	0.16
Crack	0.22	0.01	3.7	4.4	4.0	0.18	0.25	0.28
Tylenol	0.20	0.05	5.4	7.3	3.1	0.18	0.23	0.20
Aspirin	0.14	0.06	5.1	6.1	2.6	0.16	0.15	0.12
Mushroom(s)	0.13		5.0		5.1	0.18	0.13	0.04
Acid	0.12		3.7		4.5	0.16	0.09	0.09
Advil	0.11		3.3		3.6	0.12	0.13	0.09
Speed	0.09		4.1		4.3	0.10	0.05	0.11
Nicotine	0.08	0.01	4.1	5.6	4.2	0.09	0.08	0.06
Caffeine	0.07	0.01	4.1	5.2	3.6	0.06	0.09	0.07
Morphine	0.06	0.02	5.3	6.0	3.3	0.05	0.06	0.08
PCP	0.06		3.5		4.4	0.09	0.01	0.06
Opium	0.05	0.01	4.5	6.0	4.5	0.04	0.07	0.05
Penicillin	0.05	0.01	6.2	7.4	3.1	0.07	0.04	0.04
Vicaden	0.05		5.0		4.4	0.09	0.01	0.01

58. A type of car
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(643)		Overall	First		(325)	(150)	(169)
Ford	0.44	0.09	2.9	4.3	3.6	0.49	0.38	0.40
Honda	0.41	0.14	3.6	4.7	3.0	0.37	0.38	0.52
Toyota	0.31	0.04	4.2	5.6	4.2	0.33	0.27	0.31
BMW	0.30	0.04	3.4	4.9	4.0	0.35	0.30	0.22
Chevrolet/Chevy	0.27	0.01	4.0	6.0	4.3	0.28	0.23	0.30
 Chevrolet	0.23	0.01	4.1	5.6	4.3	0.28	0.06	0.30
 Chevy	0.04		3.3		4.7	0.00	0.17	0.00
Mercedes (Benz)	0.25	0.05	4.2	5.3	3.9	0.26	0.33	0.16
 Mercedes	0.23	0.04	4.0	5.2	3.9	0.26	0.28	0.15
 Mercedes Benz	0.02		6.3		4.8	0.01	0.05	0.01
Jeep	0.19	0.03	3.3	4.5	4.1	0.22	0.15	0.15
Porsche	0.15	0.03	4.3	5.5	4.0	0.19	0.09	0.12
Lexus	0.14	0.02	3.2	4.1	4.1	0.14	0.16	0.13
Nissan	0.14	0.01	3.5	6.9	4.8	0.14	0.12	0.16
Dodge	0.13	0.01	3.6	3.9	5.2	0.15	0.09	0.12
Mustang	0.13	0.04	4.0	4.8	2.8	0.11	0.13	0.17
SUV	0.13	0.02	3.6	6.2	3.9	0.15	0.13	0.08
Truck(s)	0.12	0.02	3.5	4.9	3.9	0.12	0.14	0.11
Volkswagen	0.12	0.02	5.6	9.3	3.9	0.14	0.12	0.08
 Volkswagen	0.10	0.02	5.9	9.3	3.8	0.14	0.09	0.05
 VW	0.02		4.1		4.4	0.00	0.03	0.03
Ferrari	0.11	0.02	4.1	4.5	4.1	0.14	0.07	0.09
Audi	0.09	0.02	3.1	3.5	4.1	0.13	0.08	0.04
Mazda	0.09	0.02	4.5	5.3	3.1	0.08	0.09	0.11
Sedan	0.09	0.02	3.6	6.2	3.8	0.10	0.09	0.07
Sport(s)	0.09	0.03	4.9	5.7	2.8	0.09	0.11	0.08
Volvo	0.09	0.03	3.6	4.5	3.5	0.10	0.09	0.09
Acura	0.08	0.01	3.1	5.0	4.1	0.06	0.09	0.09
Jaguar	0.08	0.01	3.6	4.0	4.2	0.11	0.05	0.07
Convertible	0.07	0.01	5.3	6.8	3.5	0.06	0.10	0.05
Corvette	0.07	0.01	4.3	5.7	3.9	0.09	0.05	0.07
Mitsubishi	0.07	0.01	5.2	7.4	4.5	0.05	0.11	0.07
Van	0.07	0.01	3.4	5.6	4.1	0.06	0.15	0.04
Cadillac	0.06		4.2		4.8	0.06	0.05	0.08
Civic	0.06	0.01	3.0	4.5	4.0	0.04	0.07	0.08
Subaru	0.06	0.01	4.2	5.0	4.3	0.08	0.04	0.03
Camry	0.05	0.01	3.9	4.4	3.7	0.03	0.05	0.09
Chrysler	0.05		4.6		5.6	0.06	0.01	0.05
GMC	0.05		3.5		5.2	0.05	0.04	0.05
Hyundai	0.05		4.5		5.3	0.04	0.06	0.07
Lamborghini	0.05		5.0		4.6	0.06	0.04	0.02
Minivan	0.05		3.9		4.2	0.03	0.06	0.07
Saab	0.05	0.01	3.5	3.5	4.3	0.07	0.03	0.03
Saturn	0.05	0.01	3.7	4.6	3.4	0.04	0.07	0.06

59. A liquid
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(646)		Overall	First		(327)	(150)	(170)
Water	1.00	0.87	3.3	3.5	1.2	0.98	1.00	1.00
Juice(s)	0.52	0.01	4.5	4.4	3.3	0.54	0.67	0.37
Soda/pop	0.52	0.02	3.6	4.2	3.3	0.53	0.58	0.46
 Soda	0.46	0.02	3.7	4.3	3.2	0.42	0.57	0.43
 Pop	0.06		3.2		3.6	0.11	0.01	0.03
Milk	0.35	0.02	3.9	3.7	3.3	0.41	0.32	0.26
Beer	0.26	0.02	3.5	3.7	3.5	0.29	0.22	0.22
Alcohol	0.15		5.4		4.0	0.17	0.14	0.12
Oil(s)	0.12		4.3		4.4	0.13	0.11	0.09
Coke/Coca cola	0.11	0.01	3.8	4.1	3.7	0.12	0.03	0.17
 Coke	0.06	0.01	4.2	4.5	3.9	0.11	0.03	0.00
 Coca Cola	0.05		3.2		3.5	0.01	0.00	0.17
Orange juice	0.11		5.2		3.7	0.14	0.07	0.09
Coffee	0.10		4.5		4.6	0.10	0.14	0.08
Tea	0.10		3.9		4.3	0.07	0.09	0.16
Blood	0.09		5.1		3.9	0.09	0.09	0.08
Wine	0.09		3.6		4.6	0.08	0.11	0.09
Mercury	0.08		5.3		3.7	0.08	0.07	0.07
Gasoline	0.07		5.4		4.2	0.07	0.09	0.04
Rain	0.07		5.8		4.4	0.05	0.10	0.09
Urine	0.07		6.2		4.6	0.06	0.11	0.06
Gatorade	0.06		6.7		4.1	0.08	0.01	0.05
Lemonade	0.06		5.4		4.6	0.05	0.06	0.06
Apple juice	0.05		6.4		4.4	0.05	0.05	0.06
Gas	0.05		3.0		3.6	0.06	0.00	0.07
Kool-Aid	0.05		5.4		3.5	0.03	0.04	0.11
Liquor(s)	0.05		4.4		4.3	0.03	0.03	0.09
Sprite	0.05		3.2		4.9	0.03	0.01	0.10

60. A thing women wear
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(703)		Overall	First		(372)	(149)	(181)
Bra(s)	0.66	0.26	3.2	4.1	2.9	0.67	0.68	0.63
Skirt(s)	0.61	0.11	3.4	5.2	3.3	0.63	0.62	0.55
Dress(es)	0.51	0.15	3.4	4.5	3.0	0.58	0.47	0.41
Panties/underwear	0.38	0.04	3.7	5.5	3.7	0.37	0.29	0.48
 Panties	0.21	0.02	3.5	6.1	3.6	0.18	0.13	0.33
 Underwear	0.17	0.02	3.9	5.0	3.9	0.19	0.16	0.15
Shirt(s)	0.35	0.04	3.3	5.3	3.7	0.35	0.29	0.38
(High) heels	0.33	0.02	4.7	6.7	4.7	0.31	0.39	0.32
 High heels	0.27	0.02	4.9	6.9	4.7	0.26	0.31	0.23
 Heels	0.07		4.0		4.5	0.05	0.08	0.09
Pants	0.30	0.01	2.8	5.1	4.6	0.34	0.21	0.30
Shoes	0.30	0.06	2.8	4.0	4.6	0.32	0.23	0.33
Blouse(s)	0.29	0.03	3.6	5.3	3.9	0.33	0.22	0.25
Makeup	0.28	0.01	3.9	6.4	5.0	0.29	0.29	0.24
Pantyhose/stockings	0.28	0.01	4.6	5.5	5.3	0.28	0.23	0.29
 Pantyhose	0.13		4.7		5.2	0.15	0.09	0.13
 Stockings	0.09		5.1		5.1	0.07	0.11	0.09
 Hose	0.03		3.8		5.6	0.02	0.01	0.07
 Nylons	0.03		3.4		5.6	0.05	0.01	0.00
Earrings	0.21	0.03	3.8	5.3	4.8	0.21	0.22	0.19
Hat(s)	0.19	0.04	3.0	3.5	4.6	0.18	0.20	0.21
Jewelry	0.16	0.01	5.1	6.6	4.9	0.18	0.13	0.14
Necklace(s)	0.15	0.02	4.1	6.8	5.0	0.15	0.15	0.17
Sock(s)	0.15		2.8		6.3	0.15	0.15	0.15
Thong(s)	0.15	0.04	3.4	4.6	3.7	0.16	0.15	0.14
Ring(s)	0.12		3.2		6.1	0.10	0.12	0.15
Perfume	0.09	0.01	4.0	5.3	4.8	0.08	0.10	0.09
Bracelet(s)	0.08		4.1		6.0	0.06	0.12	0.10
Lipstick	0.08	0.01	4.1	6.8	5.1	0.08	0.09	0.07
Scarf(ves)	0.08	0.01	3.5	4.6	4.7	0.08	0.09	0.07
Shorts	0.07		2.6		5.9	0.08	0.08	0.04
Sweater(s)	0.07		3.6		5.5	0.08	0.07	0.06
Jeans	0.06		2.7		5.4	0.07	0.06	0.04
Tank top(s)	0.06		4.4		5.3	0.06	0.09	0.05
Jacket/coat	0.05		2.9		5.3	0.04	0.07	0.03
 Jacket(s)	0.03		3.0		5.6	0.03	0.05	0.02
 Coat(s)	0.02		2.7		4.9	0.02	0.02	0.02
Purse(s)	0.05	0.01	3.3	4.2	5.3	0.05	0.05	0.05

61. A thing that flies
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(693)		Overall	First		(368)	(149)	(175)
Bird(s)	0.94	0.40	3.3	3.9	2.1	0.93	0.93	0.97
(Air)plane	0.93	0.24	3.6	4.4	2.5	0.92	1.01	0.90
 Plane(s)	0.64	0.16	3.2	4.2	2.5	0.62	0.71	0.62
 Airplane(s)	0.29	0.08	4.3	4.7	2.6	0.30	0.31	0.28
Fly(ies)	0.56	0.23	3.6	3.7	2.3	0.55	0.53	0.59
 Fly	0.48	0.21	3.5	3.6	2.3	0.45	0.53	0.51
 Flies	0.08	0.02	4.0	4.8	2.7	0.10	0.00	0.08
Helicopter(s)	0.28		5.8		4.4	0.25	0.39	0.24
Bee(s)	0.27	0.03	3.2	4.0	3.4	0.27	0.27	0.28
Bugs/insects	0.27	0.02	4.9	4.1	3.5	0.27	0.27	0.24
 Bug(s)	0.14	0.02	4.4	3.6	3.5	0.14	0.13	0.13
 Insect(s)	0.13	0.01	5.4	5.4	3.6	0.13	0.15	0.11
Kite(s)	0.23	0.01	4.6	3.4	4.3	0.26	0.21	0.18
Butterfly	0.19	0.01	5.3	5.1	4.1	0.18	0.17	0.22
Mosquito(es)	0.12	0.01	5.2	5.0	4.3	0.13	0.09	0.12
Bat(s)	0.11	0.01	4.0	3.5	4.0	0.10	0.11	0.11
Jet(s)	0.11		4.5		4.9	0.11	0.14	0.09
Superman	0.11		3.9		3.8	0.12	0.10	0.10
Eagle(s)	0.08		4.1		4.8	0.09	0.06	0.07
Dragonfly	0.05		5.2		4.3	0.05	0.03	0.06
Ladybug(s)	0.05		4.9		4.5	0.04	0.03	0.07
Moth(s)	0.05		4.3		5.2	0.06	0.06	0.02
Wasp(s)	0.05		3.8		4.6	0.06	0.03	0.05

62. A thing that makes noise
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(688)		Overall	First		(371)	(150)	(167)
Cars/automobiles	0.53	0.15	3.3	4.7	3.1	0.50	0.58	0.54
 Car(s)	0.52	0.15	3.2	4.5	3.1	0.49	0.57	0.54
 Automobile(s)	0.01		9.6		4.4	0.01	0.01	0.00
People/person	0.38	0.06	3.7	4.9	3.6	0.38	0.35	0.40
 People	0.26	0.03	3.7	4.9	3.6	0.27	0.25	0.26
 Person	0.08	0.01	3.9	5.3	3.5	0.06	0.09	0.09
 Human(s)	0.04	0.01	3.4	4.7	3.6	0.05	0.01	0.05
Horn(s)	0.31	0.12	4.0	5.1	2.5	0.28	0.31	0.36
Computer(s)	0.28	0.08	4.5	5.2	3.9	0.25	0.31	0.33
Radio(s)	0.28	0.03	3.4	5.6	4.1	0.26	0.32	0.30
TV/television	0.26	0.01	3.4	5.7	4.5	0.25	0.29	0.26
Animal(s)	0.15	0.01	3.9	6.8	4.3	0.15	0.15	0.16
Baby(ies)	0.15	0.02	3.3	4.7	3.8	0.13	0.13	0.19
Dog(s)	0.14	0.03	3.0	4.0	3.8	0.15	0.11	0.17
Stereo	0.12	0.02	4.7	6.9	3.8	0.16	0.10	0.03
Drum(s)	0.11	0.03	3.4	4.3	3.3	0.11	0.08	0.12
Instrument(s)	0.11	0.02	6.3	8.6	3.8	0.11	0.15	0.07
(Air)plane	0.10		3.2		4.5	0.11	0.11	0.07
 Plane(s)	0.06		2.8		4.5	0.06	0.08	0.05
 Airplane(s)	0.03		4.1		4.4	0.05	0.03	0.02
Bell(s)	0.09	0.03	3.7	4.2	3.3	0.10	0.09	0.08
Children/kids	0.09	0.02	3.9	4.6	3.2	0.08	0.12	0.07
 Children	0.04	0.01	4.2	4.6	3.5	0.03	0.07	0.03
 Kids	0.03	0.01	3.7	4.9	3.1	0.03	0.05	0.02
 Child	0.02		3.5		2.5	0.02	0.00	0.01
(Tele)phone	0.09	0.01	4.4	6.4	3.9	0.05	0.15	0.14
 Phone(s)	0.07	0.01	4.2	6.1	3.7	0.03	0.13	0.10
 Telephone(s)	0.03		5.1		4.3	0.02	0.02	0.05
Bird(s)	0.08	0.02	3.9	5.4	4.0	0.07	0.08	0.10
Cat(s)	0.08	0.01	2.5	4.2	4.4	0.10	0.05	0.08
Guitar	0.07	0.01	4.4	6.9	4.3	0.07	0.05	0.07
Music	0.07		3.9		4.7	0.07	0.08	0.05
Speaker(s)	0.07	0.01	5.2	7.2	4.0	0.08	0.05	0.08
Whistle(s)	0.07	0.02	4.8	6.2	3.3	0.08	0.05	0.08
Piano(s)	0.06	0.01	4.7	6.8	4.3	0.06	0.06	0.05
Train(s)	0.06		2.9		4.3	0.05	0.06	0.07
Truck(s)	0.06	0.01	3.3	4.9	4.0	0.05	0.08	0.07
Trumpet(s)	0.06	0.02	5.3	7.4	3.4	0.08	0.04	0.04
Alarm	0.05	0.01	4.4	5.6	3.7	0.04	0.06	0.04
Alarm clock(s)	0.05	0.01	5.4	8.3	3.3	0.06	0.06	0.02
Bus(es)	0.05		2.6		4.6	0.05	0.06	0.04
Gun(s)	0.05	0.02	4.1	5.0	3.2	0.04	0.07	0.07
Mouth(s)	0.05	0.01	4.0	6.3	3.3	0.04	0.05	0.07
Siren(s)	0.05		5.0		3.9	0.04	0.05	0.04
Toy(s)	0.05	0.01	4.5	5.3	3.9	0.04	0.05	0.08

63. A thing that is green
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(692)		Overall	First		(372)	(150)	(171)
Grass	0.84	0.43	3.8	4.0	2.0	0.84	0.85	0.81
Leaves/leaf	0.39	0.11	4.6	4.9	2.6	0.35	0.42	0.47
Tree(s)	0.32	0.08	3.8	4.2	2.6	0.38	0.26	0.26
Apple(s)	0.17	0.05	4.7	3.7	2.8	0.15	0.12	0.25
Money	0.15	0.04	4.2	3.7	2.7	0.15	0.17	0.13
Plant(s)	0.15	0.04	4.7	4.2	3.0	0.17	0.15	0.09
Car(s)	0.12		4.9		4.0	0.13	0.07	0.12
Frog(s)	0.12	0.03	3.6	3.8	2.8	0.13	0.11	0.09
Lettuce	0.11	0.02	5.4	5.6	3.3	0.12	0.12	0.06
Broccoli	0.09	0.01	5.4	5.5	3.7	0.07	0.13	0.09
Eyes	0.08		5.3		4.3	0.08	0.07	0.07
Clothes/clothing	0.07		5.0		4.2	0.06	0.10	0.07
 Clothes	0.06		5.2		4.3	0.04	0.10	0.05
 Clothing	0.02		4.4		3.7	0.02	0.00	0.02
Traffic light	0.07	0.00	7.9	9.4	4.0	0.07	0.09	0.04
 Stop light(s)	0.03		7.6		4.1	0.05	0.03	0.02
 Traffic light(s)	0.02		8.9		3.5	0.02	0.04	0.01
 Green light(s)	0.01		6.1		4.4	0.00	0.03	0.01
Crayon(s)	0.06		4.6		4.0	0.04	0.06	0.09
Pea(s)	0.06	0.01	4.3	3.8	3.6	0.05	0.06	0.08
Shirt(s)	0.06		4.8		4.1	0.05	0.07	0.08
Green bean(s)	0.05	0.01	5.2	6.1	3.5	0.03	0.05	0.09
Lime	0.05	0.01	4.3	4.0	3.6	0.05	0.05	0.06
Marijuana/pot	0.05	0.01	5.2	5.1	2.6	0.09	0.01	0.01
 Marijuana	0.03	0.01	6.0	5.6	2.7	0.05	0.01	0.01
 Pot	0.02	0.01	3.8	4.6	2.5	0.03	0.00	0.00

64. A thing made of wood
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(674)		Overall	First		(340)	(150)	(186)
Table(s)	0.72	0.30	3.8	4.3	2.2	0.72	0.73	0.70
Chair(s)	0.69	0.16	3.3	4.5	2.6	0.69	0.74	0.65
Desk(s)	0.57	0.19	3.7	4.4	2.7	0.55	0.57	0.59
House(s)	0.52	0.08	3.9	5.2	3.6	0.51	0.47	0.58
Tree	0.23	0.05	4.2	4.0	3.3	0.23	0.25	0.20
Pencil(s)	0.22	0.01	4.6	5.2	3.9	0.21	0.19	0.25
Door(s)	0.15	0.01	3.9	3.6	4.2	0.12	0.18	0.20
Bed	0.14		3.3		4.1	0.15	0.11	0.16
Floor(s)	0.11		4.6		4.6	0.11	0.09	0.13
Dresser(s)	0.10	0.01	4.3	5.0	4.4	0.11	0.11	0.08
Paper	0.10	0.01	3.6	4.8	4.2	0.06	0.12	0.15
Bat(s)	0.09	0.03	3.8	4.8	3.2	0.10	0.05	0.09
Bench	0.08	0.01	4.8	5.4	3.8	0.08	0.08	0.06
Boat(s)	0.08	0.02	5.1	5.2	4.1	0.09	0.07	0.08
Cabinet(s)	0.07		5.2		4.7	0.07	0.10	0.05
Deck(s)	0.07	0.01	3.9	3.9	4.5	0.08	0.06	0.05
Shelf(ves)	0.07		5.4		4.6	0.06	0.11	0.06
Cabin	0.06		4.5		4.3	0.06	0.06	0.05
Furniture	0.06	0.01	5.3	5.4	3.2	0.05	0.09	0.07
Wall(s)	0.06		4.0		4.9	0.07	0.04	0.07
Baseball bat(s)	0.05	0.01	5.8	6.5	3.4	0.06	0.05	0.03
Building(s)	0.05		5.5		4.6	0.05	0.03	0.05

65. A thing taken from a burning home
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(659)		Overall	First		(338)	(149)	(173)
Pictures/photos	0.67	0.33	5.7	6.6	2.2	0.73	0.69	0.54
 Pictures	0.40	0.19	5.4	6.4	2.2	0.56	0.49	0.01
 Photograph(s)	0.14	0.07	5.7	6.8	2.1	0.03	0.03	0.44
 Photo(s)	0.07	0.04	5.6	6.5	2.0	0.07	0.09	0.08
 Photo album(s)	0.05	0.02	7.1	8.0	2.5	0.07	0.07	0.02
 Picture album(s)	0.01		7.6		2.6	0.01	0.00	0.00
Pets/animals	0.52	0.06	3.5	6.2	3.0	0.54	0.57	0.45
 Pet(s)	0.42	0.05	3.4	6.1	3.0	0.44	0.48	0.32
 Animal(s)	0.11	0.01	4.0	6.2	3.2	0.10	0.09	0.13
Money	0.47	0.07	4.1	5.9	3.3	0.44	0.52	0.49
Children	0.38	0.13	4.6	6.7	2.6	0.41	0.37	0.32
 Children	0.19	0.06	4.9	7.2	2.6	0.18	0.22	0.20
 Baby	0.07	0.03	5.0	7.1	2.5	0.07	0.09	0.04
 Kids	0.07	0.02	4.0	5.7	2.9	0.09	0.05	0.04
 Child	0.05	0.02	4.1	6.2	2.0	0.07	0.00	0.05
People	0.28	0.10	4.5	6.4	2.5	0.23	0.31	0.36
 People	0.25	0.08	4.3	6.5	2.6	0.20	0.31	0.32
 Person	0.03	0.02	5.6	6.3	1.7	0.03	0.00	0.05
Clothes/clothing	0.27	0.03	5.0	6.9	3.7	0.24	0.26	0.34
 Clothes	0.24	0.03	4.9	6.9	3.7	0.20	0.26	0.29
 Clothing	0.03		5.7		3.8	0.04	0.00	0.05
Jewelry	0.20	0.01	6.5	10.1	3.9	0.21	0.19	0.18
Dog(s)	0.17	0.02	2.9	5.4	2.8	0.21	0.10	0.13
Cat(s)	0.15	0.04	2.7	5.2	2.6	0.19	0.11	0.12
valuables	0.12	0.01	6.3	12.3	3.6	0.12	0.11	0.12
Family (members)	0.11	0.02	5.4	8.6	3.0	0.12	0.11	0.09
 Family	0.08	0.02	5.2	8.2	2.8	0.09	0.06	0.08
 Family member(s)	0.02		5.9		3.6	0.02	0.05	0.01
Documents	0.07		7.3		4.2	0.08	0.06	0.07
 Documents	0.03		6.5		4.6	0.03	0.02	0.02
 Important documents	0.02		8.3		4.2	0.03	0.03	0.00
 Paper(s)	0.02		6.1		3.6	0.01	0.01	0.02
 Important papers	0.01		9.9		3.8	0.01	0.00	0.02
TV	0.06	0.01	4.1	6.7	3.5	0.04	0.09	0.07
Furniture	0.05	0.01	6.5	10.5	3.6	0.05	0.05	0.06
Wallet/purse	0.05	0.01	3.9	5.7	4.6	0.04	0.07	0.05
 Wallet	0.03		3.5		4.8	0.02	0.04	0.03
 Purse	0.02		4.5		4.4	0.02	0.03	0.02

66. A football position
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(653)		Overall	First		(353)	(148)	(163)
Quarterback	0.93	0.45	5.6	6.6	2.0	0.92	0.99	0.90
Receiver	0.50	0.04	4.9	6.6	3.7	0.57	0.50	0.34
 Wide receiver	0.31	0.03	5.0	6.6	3.6	0.35	0.33	0.20
 Receiver	0.19	0.01	4.7	6.6	3.7	0.22	0.17	0.15
Running back	0.43	0.05	4.5	6.7	3.2	0.45	0.47	0.33
Linebacker	0.40	0.14	4.5	5.2	2.9	0.41	0.43	0.36
Kicker(s)	0.30		3.6		4.7	0.27	0.35	0.33
Tight end	0.28	0.04	3.6	4.9	3.8	0.32	0.30	0.20
Center	0.21	0.06	3.6	3.8	3.9	0.21	0.26	0.14
Fullback	0.21	0.02	3.7	6.2	3.5	0.23	0.18	0.21
Cornerback	0.17	0.01	3.9	4.9	5.2	0.19	0.20	0.08
Lineman	0.17	0.01	4.2	7.3	3.7	0.19	0.17	0.14
Safety	0.16	0.01	3.4	4.8	5.2	0.19	0.16	0.09
Halfback	0.15	0.02	4.1	5.6	3.6	0.12	0.22	0.17
Punter	0.15		3.7		5.3	0.16	0.21	0.08
Defense	0.13	0.01	5.8	8.3	3.6	0.09	0.15	0.21
 Defense	0.12	0.01	5.8	8.3	3.6	0.08	0.13	0.20
 Defender	0.01		4.6		3.0	0.00	0.02	0.01
 Defensive	0.01		7.3		3.8	0.01	0.00	0.01
Guard(s)	0.13	0.03	3.3	4.0	3.4	0.14	0.11	0.10
Tackle	0.13	0.03	3.4	4.5	3.6	0.14	0.16	0.09
Defensive line(man)	0.07		5.7		4.5	0.06	0.07	0.09
 Defensive lineman	0.04		6.5		4.7	0.04	0.04	0.05
 Defensive line	0.03		4.4		4.2	0.02	0.03	0.04
Offense	0.07		3.3		4.1	0.03	0.09	0.15
Defensive end	0.06		5.1		5.2	0.07	0.07	0.04
Offensive line(man)	0.06		5.8		5.0	0.07	0.08	0.04
 Offensive line	0.03		5.3		4.8	0.04	0.03	0.02
 Offensive lineman	0.03		6.2		5.2	0.03	0.05	0.02
Tailback	0.06	0.01	3.7	4.9	4.5	0.07	0.05	0.05
Blocker(s)	0.05		4.6		4.3	0.05	0.04	0.08

67. A football team name
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(669)		Overall	First		(355)	(148)	(167)
Denver Broncos	0.46	0.23	4.3	4.7	2.1	0.78	0.10	0.07
 Broncos	0.45	0.23	4.3	4.7	2.1	0.77	0.10	0.07
 Denver Broncos	0.01		6.2		2.2	0.01	0.00	0.01
Raiders	0.40	0.06	4.0	5.0	3.9	0.52	0.22	0.31
 Raiders	0.40	0.05	4.0	4.9	3.9	0.52	0.22	0.30
 Oakland Raiders	0.00		6.7		1.0	0.00	0.00	0.01
Dallas Cowboys	0.36	0.06	4.6	6.1	3.4	0.26	0.46	0.49
 Cowboys	0.23	0.02	4.1	4.9	3.8	0.25	0.42	0.00
 Dallas Cowboys	0.13	0.04	5.4	6.7	2.8	0.01	0.03	0.49
49ers	0.32	0.03	4.7	6.3	3.9	0.32	0.34	0.28
Washington Redskins	0.28	0.07	4.5	5.9	3.2	0.12	0.67	0.28
 Redskins	0.27	0.07	4.5	5.9	3.2	0.12	0.66	0.27
